participante,edad,sexo,num_ensayo,tipo_metafora,texto_metafora,relacion,sujeto,objeto,palabras_presentadas,q_sujeto_participante,q_objeto_participante,config_valida,configs_validas,total_score,parcial_score,respuesta_boton,rt_lectura_s,rt_inferencia_s,fecha_hora
002,21,Femenino,1,determinada,La nube flota arriba del valle verde iluminado,arriba,Nube,Valle,Valle|Nube,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,19.7039,5.82,2026-05-11 15:13:35
002,21,Femenino,12,determinada,La raíz se esconde bajo la tierra húmeda fértil,bajo,Raíz,Tierra,Tierra|Raíz,3,1,True,"[(3, 1), (3, 2), (4, 1), (4, 2)]",100.0,100.0,Listo,5.787,4.6423,2026-05-11 15:16:24
002,21,Femenino,13,indeterminada,El reloj persigue la taza desde una esquina incierta,diagonal_o_lateral,Reloj,Taza,Reloj|Taza,3,2,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,5.8155,4.6415,2026-05-11 15:16:36
002,21,Femenino,14,determinada,El puente se extiende sobre el río ancho caudaloso,sobre,Puente,Río,Puente|Río,,,False,"[(1, 3), (1, 4), (2, 3), (2, 4)]",0.0,0.0,No se puede determinar,5.8895,1.4167,2026-05-11 15:16:44
002,21,Femenino,15,determinada,El mapa descansa sobre la mesa amplia ordenada,sobre,Mapa,Mesa,Mapa|Mesa,3,1,False,"[(1, 3), (1, 4), (2, 3), (2, 4)]",0.0,0.0,Listo,8.1917,4.7074,2026-05-11 15:16:59
002,21,Femenino,16,indeterminada,La duda se disuelve en el aire tenue ligero,indeterminada,Duda,Aire,Duda|Aire,,,False,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",0.0,0.0,No se puede determinar,6.6251,1.6412,2026-05-11 15:17:09
002,21,Femenino,17,determinada,La silla respira a la derecha del espejo frío,derecha,Silla,Espejo,Silla|Espejo,2,1,True,"[(2, 1), (2, 3), (4, 1), (4, 3)]",100.0,100.0,Listo,7.6772,4.7666,2026-05-11 15:17:23
002,21,Femenino,18,determinada,El espejo vive a la derecha del jarrón antiguo,derecha,Espejo,Jarrón,Espejo|Jarrón,1,2,False,"[(2, 1), (2, 3), (4, 1), (4, 3)]",0.0,0.0,Listo,24.6401,5.6883,2026-05-11 15:17:54
002,21,Femenino,19,indeterminada,El lápiz encuentra la taza desde un rincón lejano,diagonal_o_lateral,Lápiz,Taza,Taza|Lápiz,1,4,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,5.6168,5.0103,2026-05-11 15:18:07
002,21,Femenino,20,determinada,La lámpara cuida al libro justo arriba de él,arriba,Lámpara,Libro,Lámpara|Libro,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,4.9487,6.419,2026-05-11 15:18:19
002,21,Femenino,21,determinada,La estrella brilla encima del desierto vasto infinito,encima,Estrella,Desierto,Desierto|Estrella,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,10.6269,5.1796,2026-05-11 15:18:37
002,21,Femenino,22,indeterminada,La botella ilumina el libro desde un ángulo remoto,diagonal_o_lateral,Botella,Libro,Libro|Botella,,,False,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",0.0,0.0,No se puede determinar,4.4483,1.0975,2026-05-11 15:18:44
002,21,Femenino,23,determinada,La llave encaja dentro del candado cerrado metálico,dentro,Llave,Candado,Llave|Candado,,,False,"[(1, 2), (2, 1), (1, 3), (3, 1), (2, 4), (4, 2), (3, 4), (4, 3)]",0.0,0.0,No se puede determinar,14.1675,1.1112,2026-05-11 15:19:01
002,21,Femenino,24,indeterminada,La ventana escucha al zapato desde un rincón olvidado,indeterminada,Ventana,Zapato,Ventana|Zapato,4,1,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,6.3894,8.3197,2026-05-11 15:19:17
002,21,Femenino,25,determinada,El cuadro observa desde la izquierda a la mesa,izquierda,Cuadro,Mesa,Mesa|Cuadro,1,2,True,"[(1, 2), (1, 4), (3, 2), (3, 4)]",100.0,100.0,Listo,9.3848,6.9671,2026-05-11 15:19:35
002,21,Femenino,26,indeterminada,La esperanza cuelga en el horizonte rojo distante,indeterminada,Esperanza,Horizonte,Esperanza|Horizonte,,,False,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",0.0,0.0,No se puede determinar,5.5418,1.2464,2026-05-11 15:19:43
002,21,Femenino,27,determinada,La botella duerme a la izquierda del plato limpio,izquierda,Botella,Plato,Plato|Botella,1,2,True,"[(1, 2), (1, 4), (3, 2), (3, 4)]",100.0,100.0,Listo,3.874,5.4426,2026-05-11 15:19:54
002,21,Femenino,28,indeterminada,El cuadro mira la mesa desde un ángulo apartado,diagonal_o_lateral,Cuadro,Mesa,Mesa|Cuadro,4,1,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,16.5926,11.9037,2026-05-11 15:20:24
002,21,Femenino,29,determinada,La taza permanece a la izquierda del cuaderno abierto,izquierda,Taza,Cuaderno,Taza|Cuaderno,1,2,True,"[(1, 2), (1, 4), (3, 2), (3, 4)]",100.0,100.0,Listo,6.8923,5.5838,2026-05-11 15:20:38
002,21,Femenino,30,determinada,El libro reposa abajo a la izquierda de la taza,abajo,Libro,Taza,Libro|Taza,3,2,True,"[(3, 1), (3, 2), (4, 1), (4, 2)]",100.0,100.0,Listo,8.7777,13.1387,2026-05-11 15:21:01
002,21,Femenino,31,indeterminada,La campana persigue al pez desde una esquina apagada,indeterminada,Campana,Pez,Pez|Campana,4,1,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,6.8729,7.925,2026-05-11 15:21:18
002,21,Femenino,32,indeterminada,La libreta descansa frente al teléfono en calma leve,lateral_superior,Libreta,Teléfono,Libreta|Teléfono,1,3,False,"[(1, 2), (2, 1)]",0.0,50.0,Listo,9.7367,24.2013,2026-05-11 15:21:53
